STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160626,0,0,0,-9999,87,67
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160627,0.45,0,0,-9999,83,67
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160628,0.12,0,0,-9999,76,68
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160629,0.01,0,0,-9999,83,67
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160630,0,0,0,-9999,85,67
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160701,0.83,0,0,-9999,79,66
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160702,0,0,0,-9999,76,63
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160703,0,0,0,-9999,78,64
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160704,0.49,0,0,-9999,84,66
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160705,0.66,0,0,-9999,86,69
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160706,0,0,0,-9999,91,75
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160707,0.04,0,0,-9999,89,77
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160708,0.08,0,0,-9999,86,67
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160709,0.53,0,0,-9999,72,65
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160710,0,0,0,-9999,80,66
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160711,0,0,0,-9999,81,65
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160712,0,0,0,-9999,82,68
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160713,0,0,0,-9999,85,71
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160714,0.62,0,0,-9999,88,73
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160715,0,0,0,-9999,88,79
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160716,0,0,0,-9999,90,75
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160717,0,0,0,-9999,89,75
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160718,0.35,0,0,-9999,93,72
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160719,0,0,0,-9999,83,73
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160720,0,0,0,-9999,85,68
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160721,0,0,0,-9999,90,71
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160722,0,0,0,-9999,94,74
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160723,0,0,0,-9999,96,80
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160724,0,0,0,-9999,94,75
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160725,1,0,0,-9999,93,73
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160726,0,0,0,-9999,89,72
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160727,0,0,0,-9999,91,74
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160728,0,0,0,-9999,95,75
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160729,1.09,0,0,-9999,85,69
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160730,0.25,0,0,-9999,84,73
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160731,1.08,0,0,-9999,78,71
